ID,Deutsch,Norwegisch,Artikel,Wortart,Herkunft,Lektion,Level_Papa,Level_Mama,Zuletzt_Papa,Zuletzt_Mama,Letztes_Ergebnis_Papa,Letztes_Ergebnis_Mama,Richtig_Papa,Falsch_Papa,Richtig_Mama,Falsch_Mama,Beispielsatz_NO,Beispielsatz_DE,Notiz,Aktiv
NO0001,italienisch,italiensk,,,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0002,arbeiten,arbeide,,,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0003,ja,ja,,,Sonstige; Norsk for deg,,1,0,,,,,0,0,0,0,,,,ja
NO0004,ich,jeg,,,Sonstige; Norsk for deg,,0,0,,,,,0,0,0,0,,,,ja
NO0005,alle,alle,,,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0006,alle zusammen,alle sammen,,,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0007,"kann, kannst ...",kan,,,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0008,kommen,komme,,,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0009,Au-pair,au pair,en,Substantiv,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0010,nur,bare,,,Sonstige; Norsk for deg,,0,0,,,,,0,0,0,0,,,,ja
NO0011,können,kunne (kan),,,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0012,Tag,dag,en,Substantiv,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0013,sie (Plural),de,,,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0014,frei,ledig,,,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0015,lernen,lære,,,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0016,Sie,De,,,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0017,Lehrer/-in,lærer,en,Substantiv,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0018,dort,der,,,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0019,ein bisschen,litt,,,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0020,bedeuten,bety,,,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0021,Sahnetorte,bløtkake,en/ei,Substantiv,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0022,Tisch,bord,et,Substantiv,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0023,gut,bra,,,Sonstige; Norsk for deg,,1,0,,,,,0,0,0,0,,,,ja
NO0024,Gebrauch,bruk,en,Substantiv,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0025,"gebrauchen, benutzen",bruke,,,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0026,Limonade,brus,en,Substantiv,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0027,Brot,brød,et,Substantiv,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0028,trinken,drikke,,,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0029,oder,eller,,,Sonstige; Norsk for deg,,0,0,,,,,0,0,0,0,,,,ja
NO0030,als (bei Komparativ),enn,,,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0031,noch,ennå,,,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0032,noch nicht,ennå ikke / ikke ennå,,,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0033,norw. Mineralwasser,Farris,en,Substantiv,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0034,finden (hier: suchen),finne,,,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0035,Flasche,flaske,en/ei,Substantiv,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0036,für,for,,,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0037,Vorname,fornavn,et,Substantiv,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0038,formell,formell,,,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
NO0039,"ziemlich, ganz",ganske,,,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0040,Ziegenkäse,geitost,en,Substantiv,Sonstige,,0,0,,,,,0,0,0,0,,,,ja
NO0041,Glas,glass,et,Substantiv,Sonstige,,1,0,,,,,0,0,0,0,,,,ja
